streaming_log,mos,individual_scores,abr,content,encoding_profile,device,trace
0001.csv,82.880,[95 83 87 93 73 81 62 100 67 83 84 81 72 70 90 59 98 80 76 80 64 85 100 97 90 86 81 94 95 82 53 89],RateBased,document,H264,hdtv,1
0002.csv,75.994,[80 100 79 74 90 83 66 24 67 84 70 62 60 90 75 96 95 85 92 90 40 85 95 79 90 24 94 84 98 79 62 50],RateBased,document,H264,hdtv,2
0003.csv,70.753,[90 100 81 69 95 58 50 1 44 62 90 68 75 75 50 89 96 70 92 89 70 75 69 74 85 32 84 34 95 71 65 86],RateBased,document,H264,hdtv,3
0004.csv,78.787,[95 87 84 88 92 85 62 53 47 75 66 76 65 70 65 75 96 80 88 100 68 60 99 78 92 72 79 68 99 71 75 92],RateBased,document,H264,hdtv,4
0005.csv,82.755,[94 100 79 79 99 88 74 32 100 73 75 92 69 90 100 88 91 90 90 76 82 75 71 56 95 90 92 82 100 87 44 93],RateBased,document,H264,hdtv,5
0006.csv,81.970,[95 88 75 92 85 80 77 35 84 82 87 70 65 75 100 90 96 95 80 91 92 85 90 80 90 47 81 86 92 75 67 97],RateBased,document,H264,hdtv,6
0007.csv,33.016,[40 35 21 85 27 22 50 1 27 31 20 3 41 65 35 17 50 45 14 73 38 25 50 36 31 40 39 42 57 27 32 57],RateBased,document,H264,hdtv,7
0008.csv,50.001,[30 40 50 50 26 58 50 1 50 62 45 40 77 60 60 31 50 70 48 45 62 30 61 74 55 45 50 64 77 63 63 60],RateBased,document,H264,hdtv,8
0009.csv,61.236,[85 61 87 78 87 62 50 40 64 72 61 36 60 50 45 50 79 50 60 41 65 70 93 43 68 11 80 41 85 43 66 66],RateBased,document,H264,hdtv,9
0010.csv,77.564,[80 94 93 88 90 78 68 87 65 90 67 62 87 88 90 84 87 76 85 71 86 33 89 83 95 39 84 81 69],RateBased,document,H264,phone,1
0011.csv,67.204,[61 50 73 65 75 40 57 79 65 85 90 66 62 59 26 86 75 86 78 69 68 50 50 64 77 79 69 57 82],RateBased,document,H264,phone,2
0012.csv,59.292,[50 50 70 76 88 29 34 83 44 85 65 66 35 43 66 80 78 43 58 59 89 36 50 45 79 40 69 76 78],RateBased,document,H264,phone,3
0013.csv,69.236,[71 71 67 85 89 85 82 87 50 90 71 64 39 70 83 78 50 75 64 68 81 22 81 23 94 65 69 87 77],RateBased,document,H264,phone,4
0014.csv,72.031,[75 88 86 91 91 50 65 86 64 85 70 62 56 76 75 94 81 67 76 57 41 42 88 71 98 46 80 80 57],RateBased,document,H264,phone,5
0015.csv,76.174,[80 73 98 89 93 44 63 93 55 80 74 40 59 67 100 95 88 75 75 47 87 62 85 93 95 38 62 88 84],RateBased,document,H264,phone,6
0016.csv,39.813,[15 50 42 50 90 50 36 11 31 65 34 39 42 39 31 1 45 87 15 67 13 82 50 80 29 34 37 47 65],RateBased,document,H264,phone,7
0017.csv,56.230,[20 58 65 75 91 43 64 78 50 75 30 50 47 50 41 74 76 83 41 71 30 29 83 73 57 72 38 67 73],RateBased,document,H264,phone,8
0018.csv,69.514,[71 80 80 78 86 50 55 80 50 78 66 76 66 56 75 90 73 73 72 70 74 100 81 59 70 67 61 67 67],RateBased,document,H264,phone,9
0019.csv,82.886,[93 91 90 90 100 80 90 84 90 84 39 94 80 88 83 44 100 100 68 100 83 71 81 81 61 89 61 67 95 100 100],RateBased,document,H264,uhdtv,1
0020.csv,79.932,[86 81 50 89 90 83 60 49 35 60 85 90 82 92 76 27 87 67 50 97 93 59 99 85 86 90 68 90 95 88 100],RateBased,document,H264,uhdtv,2
0021.csv,69.681,[85 86 7 78 81 80 65 73 70 85 86 81 79 76 68 34 69 50 90 27 90 69 87 53 82 87 68 50 75 93 57],RateBased,document,H264,uhdtv,3
0022.csv,81.772,[88 79 100 80 65 90 85 92 80 81 94 89 68 88 62 58 92 60 59 88 86 69 100 74 71 96 74 100 95 97 85],RateBased,document,H264,uhdtv,4
0023.csv,83.898,[82 85 39 85 80 95 78 85 90 95 70 96 79 94 79 50 91 91 92 90 92 70 95 89 77 100 87 74 90 95 90],RateBased,document,H264,uhdtv,5
0024.csv,83.687,[92 85 19 85 90 89 81 94 100 74 80 94 60 85 72 52 89 90 95 100 91 57 100 71 80 100 87 100 95 96 95],RateBased,document,H264,uhdtv,6
0025.csv,51.472,[70 73 32 44 69 40 60 61 70 10 10 49 82 72 50 46 50 57 38 50 50 73 37 41 31 59 50 16 35 86 65],RateBased,document,H264,uhdtv,7
0026.csv,58.657,[34 76 4 55 34 50 50 76 70 36 36 70 74 91 64 44 61 50 50 72 81 32 57 50 40 81 82 79 65 91 50],RateBased,document,H264,uhdtv,8
0027.csv,74.718,[86 80 2 83 90 90 86 75 85 70 85 88 86 78 57 45 86 65 72 77 90 72 79 74 93 61 72 66 70 93 80],RateBased,document,H264,uhdtv,9
0028.csv,74.918,[90 91 80 47 50 87 84 100 100 97 69 60 70 70 82 58 67 50 84 87 70 50 92 81 90 45 82 60 92 71 60 98],RateBased,game,H264,hdtv,1
0029.csv,65.406,[80 80 78 60 78 89 57 1 36 32 47 87 61 50 60 61 88 70 81 89 60 30 71 50 87 67 90 55 95 30 56 89],RateBased,game,H264,hdtv,2
0030.csv,46.519,[75 29 50 23 66 62 50 1 35 4 20 40 45 70 35 62 63 30 83 41 29 30 80 26 68 4 84 35 92 66 50 86],RateBased,game,H264,hdtv,3
0031.csv,69.192,[90 71 89 87 66 59 67 21 39 59 9 50 50 70 60 71 86 60 81 64 58 65 80 69 87 21 85 68 96 65 46 92],RateBased,game,H264,hdtv,4
0032.csv,74.994,[90 68 76 70 50 85 60 41 50 60 70 83 85 75 100 60 96 70 94 63 77 65 90 86 95 27 84 72 92 65 63 100],RateBased,game,H264,hdtv,5
0033.csv,80.323,[100 66 77 92 73 94 92 100 100 90 89 59 64 60 62 65 95 100 99 90 71 55 87 72 100 71 85 60 100 72 58 90],RateBased,game,H264,hdtv,6
0034.csv,42.325,[75 33 6 80 12 9 50 8 78 41 38 50 45 70 55 15 3 50 65 41 91 40 6 33 35 28 36 70 68 65 32 72],RateBased,game,H264,hdtv,7
0035.csv,57.692,[85 55 31 50 50 52 50 35 92 69 61 29 80 50 75 22 73 40 73 55 69 60 50 50 64 72 28 67 83 67 50 66],RateBased,game,H264,hdtv,8
0036.csv,57.341,[80 45 76 50 74 64 58 1 50 38 36 78 43 50 36 48 84 70 92 55 62 40 81 71 63 20 65 29 80 39 72 75],RateBased,game,H264,hdtv,9
0037.csv,81.193,[81 95 89 75 100 80 75 77 76 75 76 63 91 71 86 90 95 75 59 62 91 100 77 57 99 41 70 40 100],RateBased,game,H264,phone,1
0038.csv,66.931,[58 58 56 64 89 39 50 89 40 85 72 75 79 74 76 84 78 74 72 57 95 64 87 82 78 42 33 63 49],RateBased,game,H264,phone,2
0039.csv,43.983,[41 18 29 50 95 23 34 62 44 80 61 61 40 13 20 76 84 30 45 57 90 23 50 19 83 29 21 64 50],RateBased,game,H264,phone,3
0040.csv,70.052,[65 77 77 74 95 62 50 81 58 86 76 66 40 64 74 91 60 87 63 32 92 61 50 71 82 72 43 74 77],RateBased,game,H264,phone,4
0041.csv,72.783,[86 91 73 94 96 50 65 85 62 85 75 59 51 88 45 93 80 82 77 46 89 66 50 73 98 44 64 88 74],RateBased,game,H264,phone,5
